SMILES,molecular_weight,logP,pKa,solubility,permeability,plasma_protein_binding,fu_in_vitro
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,853.913 g/mol,,,,,94.0,
CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@@]34[C@@H]([C@H]([C@@H]([C@@](O3)(CO4)CO)O)O)O)Cl,436.8855 (free base); 566.00 (L-pyroglutamic acid form) g/mol,,,0.76,,93.6,
COCC1=C([C@@H](N(C(=O)N1)C(=O)NCCCN2CCC(CC2)C3=CC=CC=N3)C4=CC(=C(C=C4)F)F)C(=O)OC,557.6 g/mol,2.4,,,,,
CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,292.37 g/mol,,,,,25.0,
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,359.352 g/mol,,,,,54.0,
COC(=O)/C=C/C(=O)OC,144.13 g/mol,,,,,36.0,
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,307.43 g/mol,,,,,55.0,
C[C@@H]1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N,280.2898 g/mol,,,,,98.0,
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,324.3969 g/mol,,9.5,5.5,,82.0,
C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,315.68 g/mol,,,,,99.625,
CC1=NC=C(C=C1)NC(=O)NC2=CC=CC(=C2F)CN3CCN(CC3)C(=O)OC,401.4396 g/mol,,,,,90.9,
CC#CC1=CN(C(=O)NC1=O)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,282.2506 g/mol,,,,,88.0,
CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,414.523 g/mol,,,,,78.0,
CCN(CC)CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@@H]([C@@H](/C=C/C(=O)NC/C=C/C(=C/[C@H](CC(=O)CC3=NC(=CO3)C2=O)O)/C)C)C(C)C,690.854 g/mol,,,,,53.0,
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,360.8 g/mol,,,,,99.0,
CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3,287.36 g/mol,,,,,25.0,
C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N,484.499 g/mol,,,,,,
CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3,337.3789 g/mol,1.9,,0.0141,,99.2,
CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(C[C@@H]([C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C,947.1578 g/mol,,,,,99.0,
CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,778.942 g/mol,,,,,87.0,
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,250.34 g/mol,,,,,40.0,
C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,441.5323 g/mol,,7.1,0.32,,97.5,
CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)O,284.3536 g/mol,,,,,3.0,
C1=NC2=C(N1)C(=S)N=CN2,152.181 g/mol,,,,,19.0,
CCCN[C@H]1CCC2=C(C1)SC(=N2)N,211.33 g/mol,,,,,15.0,
C[C@H](C1=C(C=CC(=C1)Cl)CN2C3=C(C(=O)NC2=S)NC=C3)N,334.8 g/mol,,,,,65.0,
CC1=CC(=C(C=C1)NC2=C(C=CC=C2Cl)F)CC(=O)O,293.724 g/mol,,,,,98.5,
C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C,296.41 g/mol,3.1,,,,90.0,
C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,400.971 g/mol,,,,,98.0,
C1CC[C@H]([C@@H](C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)[C@H]6[C@@H]7CC[C@@H](C7)[C@H]6C5=O,492.6844 g/mol,5.4,1.96,,,99.0,
C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O,409.43 g/mol,,,,,90.0,
CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,666.7 g/mol,,,,,96.0,
CC(C)OC(=O)N1[C@H](C(=S)NC2=C1C=C(C=C2)OC)CSC,340.466 g/mol,2.7,,,,,
CCOC(=O)[C@@]1(CCC=C[C@H]1N(C)C)C2=CC=CC=C2,273.3737 g/mol,,,,,,
CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC,317.4 g/mol,,,,,83.5,
C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,581.574 g/mol,,,,,46.0,
C[C@H]1/C=C/C=C(\C(=O)N=C2C(=C3C(=C4C2=NC5(N4)CCN(CC5)CC(C)C)C6=C(C(=C3O)C)O[C@@](C6=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)O)/C,847.013 g/mol,3.2,,0.19,,71.0,
CCCCC1=NC(=C(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CC(=S)N(C)C)C,501.6559 g/mol,,,,,97.7,
CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/CN(C)C,557.0511 g/mol,4.9,7.65,,,99.0,
CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,224.2148 g/mol,,,,,,
C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N,365.2 g/mol,,,,,24.0,
CC(C)(C)[C@@H](C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@]2(C[C@H]2C=C)C(=O)NS(=O)(=O)C3CC3)OC4=NC=C(C5=C4C=C(C=C5)Cl)OC)NC(=O)OC(C)(C)C,748.3 g/mol,,,,,98.8,
CC(C)[C@@H](C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N,324.339 g/mol,,,,,15.7,
CCC(=O)NC[C@@H]1C[C@H]1C2=C3CCOC3=CC=C2,245.3201 g/mol,2.43,,1.1,,90.0,
C1=CC=C(C=C1)[C@H](CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O,396.5126 g/mol,2.1,,,,71.0,
CC1=CC(=C(C=C1)O)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2,325.493 g/mol,1.83,9.87,12,,96.3,
CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,389.4 g/mol,,,,,70.8,
CCCCC[C@@H](CC[C@H]1[C@@H](C[C@H]2[C@@H]1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O,412.49 (Na) g/mol,,,,,91.0,
CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@@H](C2=CC3=C(C=C2)OCCO3)O,404.5474 (free base) g/mol,2.84,8.79,,23.0,79.5,
C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC,414.5 g/mol,7.1,,0.55,,50.0,
CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,457.6855 g/mol,,2.8,0.55,688.0,98.4,
C1C[C@@H](C2=C(C1)C=CC=N2)N(CCCCN)CC3=NC4=CC=CC=C4N3,349.4793 g/mol,2.4,11.5,3.3,1.12,94.0,
CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,330.8 g/mol,,6.95,,,81.7,
CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,270.3 g/mol,0.54,2.1,1.05,,98.5,
C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O,344.4086 g/mol,,,,,58.5,
CC1=C(C(=CC=C1)C)NC(=O)C(C)N,192.26 g/mol,,,,,10.0,
CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,812.0115 g/mol,3,,0.3,,65.0,
CCOC(=O)C1=C(NC(=NC1C2=C(C=C(C=C2)F)Br)C3=NC=CS3)CN4CCOCC4,509.4 g/mol,2.5,,,,,
CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C=C2)OC)OC,358.4354 g/mol,,,,,,
C[C@@H](C(=O)N)NCC1=CC=C(C=C1)OCC2=CC(=CC=C2)F,302.3471 g/mol,,,0.27,23.0,88.5,
CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,244.264 g/mol,,,,,99.5,
C1C[C@H](N2C[C@@H]1N(C2=O)OS(=O)(=O)O)C(=O)NC3CCNCC3,348.378 g/mol,,,,,22.0,
C1=CC(=C(C=C1Cl)Cl)C(=O)NS(=O)(=O)C2=CC=C(S2)Br,415.1144 g/mol,,,,,,
C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,282.334 g/mol,,,,,86.5,
C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O,213.212 g/mol,,,,,90.5,
CCCCN1C(=O)[C@H](NC(=O)C12CCN(CC2)CC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O)[C@@H](C5CCCCC5)O,577.7177 g/mol,,,,,93.0,
CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,236.29 g/mol,,,0.0055,,93.0,
CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,306.234 g/mol,,,,,98.5,
C1CC2=CN=CN2[C@H]1C3=C(C=C(C=C3)C#N)F,227.241 g/mol,,6.9,,25.83,36.4,
C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,263.1989 g/mol,,,,,,
CCOC(=O)[C@]1(CCC=C[C@@H]1NC)C2=CC=CC=C2,259.34 g/mol,,,,,13.8,
CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)/C=C(\CC3=CC=CS3)/C(=O)O,424.519 g/mol,,,,,98.0,
CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,530.446 g/mol,,,,,95.0,
C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,526.66 g/mol,,,,,54.0,
C1=NC2=C(N1COCCO)N=C(NC2=O)N,225.207 g/mol,,,,,21.0,
CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br,588.279 g/mol,3.7,,,,99.0,
CC[C@@H]1C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)N3C[C@H](C(=O)C[C@H]3C(=O)N[C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)C4=C(C=CC=N4)O)C)C5=CC=CC=C5)CS[C@@H]6CN7CCC6CC7)CC8=CC=C(C=C8)N(C)C)C,1022.2313 g/mol,,,,,27.5,
CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,326.829 g/mol,,,,,97.0,
CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)OP(=S)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C(=NC4=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]5[C@H]([C@H]([C@@H](O5)N6C=NC7=C(N=CN=C76)N)OCCOC)OP(=S)(O)OC[C@@H]8[C@H]([C@H]([C@@H](O8)N9C=C(C(=NC9=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)O)OCCOC,7501.0 g/mol,,,,,94.0,
CC1=CN=C(C(=C1OC)C)C[S@@](=O)C2=NC3=C(N2)C=C(C=C3)OC,345.4 g/mol,,9.29,0.36,,96.0,
C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,394.4 g/mol,,,,,70.8,
CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O,309.403 g/mol,,,,,30.0,
CCC1(CC(=O)NC1=O)C,141.169 g/mol,,,,,0.0,
CC1=CC=C(C=C1)C#CC2=CC=C(S2)S(=O)(=O)N[C@H](CC3=CNC4=CC=CC=C43)C(=O)O,464.564 g/mol,,,,,99.9983,
CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,354.455 g/mol,,,,,90.0,
CCC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,280.3 g/mol,3.62,4.1,,,,
CC(C)CN([C@H]1C[C@H](CNC1)C(=O)N2CCOCC2)C(=O)C3=NC4=CC=CC=C4N3CCCCOC.Cl,536.1128 g/mol,,,,,81.95,
CC(CC1=CC=CC=C1)(C2=CC=CC=C2)NC(=O)CN,268.358 g/mol,,,,,74.0,
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O,438.521 g/mol,,,,,97.0,
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)/C=C/CN4CCCCC4,487.95 g/mol,,,,,98.0,
C1COC[C@H]1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)Cl,450.91 g/mol,,,0.55,,86.2,
CC(C)(C1=NC(=NO1)C2=CC=CC=C2)NC(=O)C3=C([C@H]4[C@@]56CCN([C@@H]([C@@]5(C3)O)CC7=C6C(=C(C=C7)O)O4)CC8CC8)O,570.6426 (free base); 742.84 (tosylate) g/mol,3.2,,,,93.5,
C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],236.135 g/mol,,,,,28.0,
C1C(=S)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)CC(F)(F)F,386.799 g/mol,,,,,95.0,
CN(C)CC[C@@](C1=CC=CC2=CC=CC=C21)([C@H](C3=CC=CC=C3)C4=C(N=C5C=CC(=CC5=C4)Br)OC)O,555.50 g/mol,,,,,99.0,
CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)O)O)O)C3=CC=C(C=C3)F,411.47 g/mol,,,101,,98.0,
CC(C(=O)NCC(=O)O)S,163.196 g/mol,,,,,80.0,
C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O,467.646 g/mol,4.82,,,44.7,96.0,
C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,272 g/mol,-1.1,,,,,
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C3=CC[C@@]2([C@H]1C(=O)CN5CCN(CC5)C6=NC(=NC(=C6)N7CCCC7)N8CCCC8)C)C,624.8599 g/mol,,,,,,
C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)O)C)O)F)C)F,444.511 g/mol,,,,,99.0,
CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,300.744 g/mol,,,,,96.0,
C1N(C2=CC=CC=C2S1(=O)=O)C(=O)C3=CC(=C(C(=C3)Cl)O)Cl,358.2001 g/mol,,,,,99.28,
CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,465.5147 g/mol,,,,,97.5,
C1CC1C(=O)NC2=NN3C(=N2)C=CC=C3C4=CC=C(C=C4)CN5CCS(=O)(=O)CC5,425.5107 g/mol,,,,,57.0,
CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,551.7637 g/mol,,,,0.2,49.5,
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,264.32 g/mol,,,,,71.2,
CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CNC=N2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC5=CNC=N5)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CO)N,4117.8 g/mol,,,,,,
CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,293.372 g/mol,,,,,40.0,
C[C@H]1CC[C@H](N1C(=O)[C@H](C(C)C)NC(=O)OC)C2=NC3=C(N2)C=CC4=CC5=C(C=C43)OCC6=C5C=CC(=C6)C7=CN=C(N7)[C@@H]8C[C@@H](CN8C(=O)[C@@H](C9=CC=CC=C9)NC(=O)OC)COC,883.0136 g/mol,,,,,99.5,
C1=CC=C(C=C1)CNC(=O)CN2C=CN=C2[N+](=O)[O-],260.2518 g/mol,,,,,52.0,
C/C=C(/C=C)\C1=CC(=NC=C1N(C)C(=O)C(C)(C)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)N3CCN(CC3)C.C1C[C@@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@@H]4CN5CCC4CC5,"578.61 (netupitant), 332.87 (palonosetron) g/mol",,,,,,
CS(=O)(=O)NC1=CC2=C(C=C1)NC(=NS2(=O)=O)C3=C([C@@H]4[C@H]5CC[C@H](C5)[C@@H]4N(C3=O)CC6=CC=C(C=C6)F)O,560.6245 g/mol,,,,,99.0,
CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,445.541 g/mol,,5.9,,,98.4,
CC(C)[C@@H](C(=O)N1CCC[C@@H]1C2N=CC(=N2)C3=CC4=C(C=C3)C5=CC6=C(N5[C@@H](O4)C7=CC=CC=C7)C=CC(=C6)C8=CN=C(N8)[C@@H]9CCCN9C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC.CC(C)(C)[C@H]1C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)OC5=NC6=C(C=CC(=C6)OC)N=C5CCCCC[C@@H]7C[C@H]7OC(=O)N1,elbasvir: 882.02; grazoprevir: 766.90 g/mol,,,0.0055,,,
CCC[C@@H]1CC(=O)N(C1)[C@@H](CC)C(=O)N,212.291 g/mol,,,,,20.0,
CC(C)C(=O)OC1=C(C=C(C=C1)CO)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2,411.5823 g/mol,,,,,50.0,
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,361.371 g/mol,,,,,31.0,
CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,312.4 g/mol,,,,,95.5,
CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,704.864 g/mol,,4.7,,5.3,86.0,
C[C@@H]1C2=C(C=CC(=C2)F)C(=O)N(CC3=NN(C(=C3C4=CC(=C(N=C4)N)O1)C#N)C)C,406.41 g/mol,2.47,,,,66.0,
COCCCN1CCC(CC1)NC(=O)C2=CC(=C(C3=C2OCC3)N)Cl,367.8744 g/mol,,,,,28.9,
C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,437.527 g/mol,,,,,97.0,
CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,558.59 g/mol,,,,,99.0,
CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,381.905 g/mol,,,,,83.0,
CCC(CC)[C@@H]([C@H]1[C@@H](C[C@@H]([C@H]1O)C(=O)O)N=C(N)N)NC(=O)C,382.45 g/mol,,,,,18.0,
CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl,237.728 g/mol,,,,,44.0,
C1COCC(=O)N1C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl,435.8862 g/mol,,,,,93.5,
CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,777.09 g/mol,,,,,0.0,
CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,748.989 g/mol,,8.1,100,,51.0,
